318,16730
1867,30120
3121,44640
4578,48650
4869,59810
6030,79700
8065,10593
10728,12242
12258,12776
12918,13886
13843,14814
14804,15874
16219,17325
17344,19323
19311,19922
19924,20256
20308,21426
21652,23085
23132,23953
24194,24934
24950,25351
25351,25839
25862,26665
26646,27467
27495,28199
28254,28895
29100,31004
31088,31963
32197,32535
32571,33380
33397,34452
34654,35619
35616,38018
38031,39383
39385,40470
40705,41730
41803,43188
43175,44266
44282,45223
45325,46434
46451,47230
47335,47994
48080,49306
49585,49878
49934,50470
50514,50753
50907,51518
51775,52389
52373,52534
52630,53925
53944,54672
54839,56812
56815,57261
57286,58638
58897,60189
60506,60799
60948,64154
64144,64659
64677,64928
64950,66146
66160,70656
70673,71071
71064,71363
71360,72061
72062,72394
72408,74222
74239,75228
75342,75665
75832,76125
76262,76984
77149,77406
78090,78374
78374,78811
79047,79820
79817,80869
80892,81530
81661,82617
82959,84437
84451,84849
85025,85627
85902,86228
86323,86691
86747,87730
88121,88810
88888,94767
94764,97070
97127,97369
97366,98412
98409,99905
99902,10077
100772,10214
102155,10248
102468,10303
103204,10384
104134,10510
105123,10593
105951,10686
106988,10738
107499,10785
108320,10861
108624,10926
109349,10972
110013,11228
112386,11329
113313,11509
115087,11683
116972,11781
117841,11896
119060,11977
119740,12044
120654,12112
121112,12145
121664,12209
122104,12252
122798,12319
123200,12371
123760,12406
124104,12451
124495,12636
126360,12718
127188,12832
128314,12861
128628,12920
129218,12970
129694,13023
130249,13067
130652,13138
131419,13377
133961,13471
134782,13629
136469,13670
136714,13699
137323,13890
138999,13995
139960,14085
141052,14134
141337,14171
141702,14301
143016,14326
143366,14372
143986,14427
144397,14484
145354,14556
145869,14631
146306,14666
146764,14738
147399,14776
147884,14829
148354,15001
150232,15117
151186,15189
151839,15265
152648,15333
153608,15595
155993,15681
157089,15947
159663,16138
161420,16225
162467,16346
163465,16430
164309,16470
164735,16551
165492,16576
165761,16664
166687,16697
167086,16794
168011,16927
169510,17201
172072,17241
172410,17270
172903,17321
173309,17456
174834,17569
175763,17776
177924,17914
179174,18005
180052,18090
180928,18218
182267,18557
185572,18786
187867,18953
189625,19040
190690,19192
192018,19259
192586,19347
193593,19385
193989,19487
194892,19563
195793,19661
196786,19746
197512,19820
198201,19941
200094,20040
200522,20083
201217,20259
202641,20360
203640,20435
204624,20558
205819,20741
207739,20927
209470,21139
211425,21229
212366,21269
212824,21329
213336,21367
213735,21441
214486,21543
215721,21634
216434,21702
217125,21769
217800,22134
221370,22296
222983,22326
223490,22388
224027,22446
224562,22651
226854,22893
229045,22982
229840,23072
230840,23177
232692,23348
233491,23387
233858,23434
234414,23541
235524,23702
248555,24901
249026,24954
249541,25056
250592,25305
253200,25457
254707,25578
255794,25650
256491,25696
256983,25846
258856,25947
259477,26089
260896,26131
261306,26206
262064,26258
262657,26326
263535,26371
263844,26438
264432,26490
265029,26545
265494,26618
266431,26693
267010,26737
267530,26792
